"ID","Faction","Instance_Id","Supercedes","Title_Lang_enUS","Title_Lang_enGB","Title_Lang_koKR","Title_Lang_frFR","Title_Lang_deDE","Title_Lang_enCN","Title_Lang_zhCN","Title_Lang_enTW","Title_Lang_zhTW","Title_Lang_esES","Title_Lang_esMX","Title_Lang_ruRU","Title_Lang_ptPT","Title_Lang_ptBR","Title_Lang_itIT","Title_Lang_Unk","Title_Lang_Mask","Description_Lang_enUS","Description_Lang_enGB","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_enCN","Description_Lang_zhCN","Description_Lang_enTW","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_ptPT","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk","Description_Lang_Mask","Category","Points","Ui_Order","Flags","IconID","Reward_Lang_enUS","Reward_Lang_enGB","Reward_Lang_koKR","Reward_Lang_frFR","Reward_Lang_deDE","Reward_Lang_enCN","Reward_Lang_zhCN","Reward_Lang_enTW","Reward_Lang_zhTW","Reward_Lang_esES","Reward_Lang_esMX","Reward_Lang_ruRU","Reward_Lang_ptPT","Reward_Lang_ptBR","Reward_Lang_itIT","Reward_Lang_Unk","Reward_Lang_Mask","Minimum_Criteria","Shares_Criteria"
"126","-1","-1","0","","","","","中级钓鱼","","","","","","","","","","","","16712190","","","","","成为一名中级渔夫。","","","","","","","","","","","","16712190","171","10","1","0","580","","","","","","","","","","","","","","","","","16712174","0","0"
"131","-1","-1","0","","","","","中级急救","","","","","","","","","","","","16712190","","","","","成为一名中级急救师。","","","","","","","","","","","","16712190","172","10","1","0","504","","","","","","","","","","","","","","","","","16712174","0","0"
"154","-1","529","0","","","","","阿拉希盆地胜利","","","","","","","","","","","","16712190","","","","","在阿拉希盆地获胜。","","","","","","","","","","","","16712190","14802","10","1","0","3381","","","","","","","","","","","","","","","","","16712174","0","0"
"166","-1","489","0","","","","","战歌峡谷胜利","","","","","","","","","","","","16712190","","","","","在战歌峡谷获胜。","","","","","","","","","","","","16712190","14804","10","1","0","3387","","","","","","","","","","","","","","","","","16712174","0","0"
"193","-1","-1","0","","","","","造成的最高伤害","","","","","","","","","","","","16712190","","","","","造成的最高伤害","","","","","","","","","","","","16712190","141","0","1","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"208","-1","566","0","","","","","风暴之眼胜利","","","","","","","","","","","","16712190","","","","","在风暴之眼获胜。","","","","","","","","","","","","16712190","14803","10","1","0","3384","","","","","","","","","","","","","","","","","16712174","0","0"
"218","-1","30","0","","","","","奥特兰克山谷胜利","","","","","","","","","","","","16712190","","","","","在奥特兰克山谷获胜。","","","","","","","","","","","","16712190","14801","10","1","0","3377","","","","","","","","","","","","","","","","","16712174","0","0"
"238","-1","-1","0","","","","","一次荣誉击杀","","","","","","","","","","","","16712190","","","","","完成一次荣誉击杀。","","","","","","","","","","","","16712190","95","10","1","0","3454","","","","","","","","","","","","","","","","","16712174","0","0"
"263","-1","-1","0","","","","","冰霜之王","","","","","","","","","","","","16712190","","","","","杀死奴隶围栏的埃霍恩。","","","","","","","","","","","","16712190","161","10","1","0","94","","","","","","","","","","","","","","","","","16712174","1","0"
"273","-1","-1","0","","","","","拯救梅森！","","","","","","","","","","","","16712190","","","","","拯救驯鹿梅森。","","","","","","","","","","","","16712190","156","10","1","0","3703","","","","","","","","","","","","","","","","","16712174","1","0"
"319","-1","-1","0","","","","","决斗获胜","","","","","","","","","","","","16712190","","","","","决斗获胜","","","","","","","","","","","","16712190","154","0","1","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"321","-1","-1","0","","","","","在地下城和团队副本中死亡的总次数","","","","","","","","","","","","16712190","","","","","在地下城和团队副本中死亡的总次数","","","","","","","","","","","","16712190","125","0","1","9","4","","","","","","","","","","","","","","","","","16712174","0","0"
"328","-1","-1","0","","","","","获得的金币总量","","","","","","","","","","","","16712190","","","","","获得的金币总量","","","","","","","","","","","","16712190","140","0","1","9","4","","","","","","","","","","","","","","","","","16712174","0","0"
"344","-1","-1","0","","","","","使用绷带","","","","","","","","","","","","16712190","","","","","使用绷带","","","","","","","","","","","","16712190","145","0","1","9","4","","","","","","","","","","","","","","","","","16712174","0","0"
"349","-1","-1","0","","","","","乘坐公共飞行工具","","","","","","","","","","","","16712190","","","","","乘坐公共飞行工具","","","","","","","","","","","","16712190","134","0","1","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"377","-1","-1","0","","","","","达到崇拜的声望","","","","","","","","","","","","16712190","","","","","达到崇拜的声望","","","","","","","","","","","","16712190","147","0","1","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"397","-1","-1","0","","","","","进入竞技场","","","","","","","","","","","","16712190","","","","","在80级时获得一场竞技场积分赛的胜利。","","","","","","","","","","","","16712190","165","10","1","0","3601","","","","","","","","","","","","","","","","","16712174","0","0"
"457","-1","-1","0","","","","","服务器第一！80级","","","","","","","","","","","","16712190","","","","","本服务器第一个达到80级的玩家。","","","","","","","","","","","","16712190","81","0","1","256","3275","","","","","","","","","","","","","","","","","16712174","0","0"
"477","-1","574","0","","","","","乌特加德城堡","","","","","","","","","","","","16712190","","","","","击败乌特加德城堡的首领。","","","","","","","","","","","","16712190","14806","10","1","0","3226","","","","","","","","","","","","","","","","","16712174","0","0"
"489","-1","574","0","","","","","乌特加德城堡（英雄难度）","","","","","","","","","","","","16712190","","","","","击败乌特加德城堡的首领（英雄难度）。","","","","","","","","","","","","16712190","14921","10","1","0","3225","","","","","","","","","","","","","","","","","16712172","0","0"
"503","-1","-1","0","","","","","完成50个任务","","","","","","","","","","","","16712190","","","","","完成50个任务。","","","","","","","","","","","","16712190","96","10","1","0","3421","","","","","","","","","","","","","","","","","16712174","0","0"
"522","-1","-1","0","","","","","有人喜欢我","","","","","","","","","","","","16712190","","","","","在一个势力中达到崇拜声望。","","","","","","","","","","","","16712190","201","10","1","0","3609","","","","","","","","","","","","","","","","","16712174","0","0"
"588","-1","-1","0","","","","","荣誉杀敌总数","","","","","","","","","","","","16712190","","","","","荣誉杀敌总数","","","","","","","","","","","","16712190","136","0","1","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
"605","-1","-1","0","","","","","1枚先祖硬币","","","","","","","","","","","","16712190","","","","","获得一枚先祖硬币。","","","","","","","","","","","","16712190","160","10","1","0","2717","","","","","","","","","","","","","","","","","16712174","0","0"
"625","-1","615","0","","","","","击败黑龙军团（25人）","","","","","","","","","","","","16712190","","","","","击败黑岩守护者萨塔里奥（25人）。","","","","","","","","","","","","16712190","14923","25","1","0","3255","","","","","","","","","","","","","","","","","16712172","0","0"
"629","-1","-1","0","","","","","怒焰裂谷","","","","","","","","","","","","16712190","","","","","击败饥饿者塔拉加曼。","","","","","","","","","","","","16712190","14808","10","1","0","1983","","","","","","","","","","","","","","","","","16712172","1","0"
"647","-1","-1","0","","","","","地狱火城墙","","","","","","","","","","","","16712190","","","","","击败无疤者奥摩尔。","","","","","","","","","","","","16712190","14805","10","1","0","3680","","","","","","","","","","","","","","","","","16712174","1","0"
"728","-1","-1","0","","","","","探索杜隆塔尔","","","","","","","","","","","","16712190","","","","","探索杜隆塔尔，走过世界地图中被遮住的各个角落。","","","","","","","","","","","","16712190","14778","10","1","0","3532","","","","","","","","","","","","","","","","","16712174","0","0"
"763","0","-1","0","","","","","燃烧的远征","","","","","","","","","","","","16712190","","","","","在所有《燃烧的远征》副本相关势力中达到崇拜声望。","","","","","","","","","","","","16712190","14865","20","1","0","2365","","","","","","","","","","","","","","","","","16712174","0","0"
"776","-1","-1","0","","","","","探索艾尔文森林","","","","","","","","","","","","16712190","","","","","探索艾尔文森林，走过世界地图中被遮住的各个角落。","","","","","","","","","","","","16712190","14777","10","1","0","3536","","","","","","","","","","","","","","","","","16712174","0","0"
"796","-1","-1","0","","","","","被牧师复活","","","","","","","","","","","","16712190","","","","","被牧师复活","","","","","","","","","","","","16712190","127","0","1","9","1","","","","","","","","","","","","","","","","","16712174","0","0"
"837","-1","-1","0","","","","","竞技场获胜","","","","","","","","","","","","16712190","","","","","竞技场获胜","","","","","","","","","","","","16712190","152","0","1","9","1","","","","","","","","","","","","","","","","","16712174","0","0"
"839","-1","-1","0","","","","","参与战场","","","","","","","","","","","","16712190","","","","","参与战场","","","","","","","","","","","","16712190","153","0","1","9","1","","","","","","","","","","","","","","","","","16712174","0","0"
"862","-1","-1","0","","","","","探索地狱火半岛","","","","","","","","","","","","16712190","","","","","探索地狱火半岛，走过世界地图中被遮住的各个角落。","","","","","","","","","","","","16712190","14779","10","1","0","3554","","","","","","","","","","","","","","","","","16712174","0","0"
"913","-1","-1","0","","","","","尊敬长者","","","","","","","","","","","","16712190","","","","","完成下列春节成就。","","","","","","","","","","","","16712190","155","30","1","0","3698","","","","","头衔奖励：长者","","","","","","","","","","","","16712190","0","0"
"927","-1","-1","0","","","","","装备史诗物品的数量","","","","","","","","","","","","16712190","","","","","装备史诗物品的数量","","","","","","","","","","","","16712190","191","0","1","33","1","","","","","","","","","","","","","","","","","16712174","0","0"
"932","-1","-1","0","","","","","进入5人地下城副本的次数","","","","","","","","","","","","16712190","","","","","进入5人地下城副本的次数","","","","","","","","","","","","16712190","14807","0","1","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
"939","-1","-1","0","","","","","白色雷象一般的山丘","","","","","","","","","","","","16712190","","","","","在纳格兰完成包括“终极挑战”在内的所有赫米特·奈辛瓦里任务。","","","","","","","","","","","","16712190","14862","10","1","0","2165","","","","","","","","","","","","","","","","","16712174","0","0"
"940","-1","-1","0","","","","","荆棘谷的青山","","","","","","","","","","","","16712190","","","","","在荆棘谷完成包括“荆棘谷的青山”和“王牌猎人”在内的所有赫米特·奈辛瓦里任务。","","","","","","","","","","","","16712190","14861","10","1","0","916","","","","","","","","","","","","","","","","","16712174","0","0"
"946","-1","-1","0","","","","","银色黎明","","","","","","","","","","","","16712190","","","","","在银色黎明阵营中达到崇拜声望。","","","","","","","","","","","","16712190","14864","15","1","0","1608","","","","","","","","","","","","","","","","","16712174","0","0"
"947","-1","-1","0","","","","","银色北伐军","","","","","","","","","","","","16712190","","","","","在银色北伐军阵营中达到崇拜声望。","","","","","","","","","","","","16712190","14866","15","1","0","1672","","","","","","","","","","","","","","","","","16712174","0","0"
"972","-1","-1","0","","","","","不给糖果就捣乱！","","","","","","","","","","","","16712190","","","","","从任意一座旅店的糖罐里获取糖果。","","","","","","","","","","","","16712190","158","10","1","0","2652","","","","","","","","","","","","","","","","","16712174","0","0"
"1042","-1","-1","0","","","","","拥抱的次数","","","","","","","","","","","","16712190","","","","","拥抱的次数","","","","","","","","","","","","16712190","131","0","1","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
"1057","-1","-1","0","","","","","在2v2比赛中死亡","","","","","","","","","","","","16712190","","","","","在2v2比赛中死亡","","","","","","","","","","","","16712190","123","0","1","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
"1068","-1","542","0","","","","","杀死击碎者克里丹（鲜血熔炉）","","","","","","","","","","","","16712190","","","","","杀死击碎者克里丹（鲜血熔炉）","","","","","","","","","","","","16712190","14822","5","1","1","541","","","","","","","","","","","","","","","","","16712174","0","0"
"1091","-1","36","0","","","","","杀死艾德温·范克里夫（死亡矿井）","","","","","","","","","","","","16712190","","","","","杀死艾德温·范克里夫（死亡矿井）","","","","","","","","","","","","16712190","14821","5","1","1","2692","","","","","","","","","","","","","","","","","16712174","0","0"
"1149","-1","-1","0","","","","","重新分配天赋","","","","","","","","","","","","16712190","","","","","重新分配天赋","","","","","","","","","","","","16712190","130","0","1","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
"1184","1","-1","0","","","","","奇怪的美酒","","","","","","","","","","","","16712190","","","","","品尝下列美酒节啤酒。","","","","","","","","","","","","16712190","162","10","1","0","1780","","","","","","","","","","","","","","","","","16712174","0","0"
"1197","-1","-1","0","","","","","杀敌总数","","","","","","","","","","","","16712190","","","","","杀敌总数","","","","","","","","","","","","16712190","128","0","1","9","1","","","","","","","","","","","","","","","","","16712174","0","0"
"1199","-1","-1","0","","","","","学习专业","","","","","","","","","","","","16712190","","","","","学习专业","","","","","","","","","","","","16712190","132","0","1","33","1","","","","","","","","","","","","","","","","","16712174","0","0"
"1242","-1","574","0","","","","","杀死掠夺者因格瓦尔（乌特加德城堡）","","","","","","","","","","","","16712190","","","","","杀死掠夺者因格瓦尔（乌特加德城堡）","","","","","","","","","","","","16712190","14823","5","1","1","2813","","","","","","","","","","","","","","","","","2113864174","0","0"
"1264","-1","-1","0","","","","","探索北风苔原","","","","","","","","","","","","16712190","","","","","探索北风苔原，走过世界地图中被遮住的各个角落。","","","","","","","","","","","","16712190","14780","10","1","0","3330","","","","","","","","","","","","","","","","","2113864174","0","0"
"1283","-1","-1","0","","","","","旧世地下城大师","","","","","","","","","","","","16712190","","","","","完成下列《魔兽世界》地下城成就。","","","","","","","","","","","","16712190","168","10","1","0","1949","","","","","","","","","","","","","","","","","2113864174","0","0"
"1308","-1","607","0","","","","","远古海滩胜利","","","","","","","","","","","","16712190","","","","","在远古海滩获胜。","","","","","","","","","","","","16712190","14881","10","1","0","3402","","","","","","","","","","","","","","","","","2113864172","0","0"
"1487","-1","-1","0","","","","","亲手击杀总数","","","","","","","","","","","","16712190","","","","","亲手击杀总数","","","","","","","","","","","","16712190","137","0","1","1","1","","","","","","","","","","","","","","","","","2080309740","0","0"
"1501","-1","-1","0","","","","","被其他玩家杀死的总次数","","","","","","","","","","","","16712190","","","","","被其他玩家杀死的总次数","","","","","","","","","","","","16712190","21","0","1","1","1","","","","","","","","","","","","","","","","","2113864172","0","0"
"1524","-1","-1","0","","","","","烹饪技术","","","","","","","","","","","","16712190","","","","","烹饪技术","","","","","","","","","","","","16712190","178","0","1","1","1","","","","","","","","","","","","","","","","","2080309740","0","0"
"1527","-1","-1","0","","","","","最高的炼金术技能","","","","","","","","","","","","16712190","","","","","最高的炼金术技能","","","","","","","","","","","","16712190","173","0","1","1","1","","","","","","","","","","","","","","","","","2080309740","0","0"
"1701","-1","-1","0","","","","","和我在一起吧！","","","","","","","","","","","","16712190","","","","","吃掉下列从“一袋糖果""中获得的8种情人糖。","","","","","","","","","","","","16712190","187","10","1","0","3196","","","","","","","","","","","","","","","","","2063532524","0","0"
"1717","-1","571","0","","","","","冬拥湖的胜利","","","","","","","","","","","","16712190","","","","","在冬拥湖的战斗中获胜。","","","","","","","","","","","","16712190","14901","10","1","0","187","","","","","","","","","","","","","","","","","2130641388","0","0"
"1791","-1","-1","0","","","","","独自在家","","","","","","","","","","","","16712190","","","","","在召唤出孤儿的情况下使用炉石。","","","","","","","","","","","","16712190","163","10","1","0","776","","","","","","","","","","","","","","","","","2080309740","0","0"
"1876","-1","615","0","","","","","击败黑龙军团（10人）","","","","","","","","","","","","16712190","","","","","击败黑岩守护者萨塔里奥（10人）。","","","","","","","","","","","","16712190","14922","10","1","0","3254","","","","","","","","","","","","","","","","","2130641388","0","0"
"2676","-1","-1","0","","","","","我找到一枚！","","","","","","","","","","","","16712190","","","","","找到一枚鲜艳的彩蛋。","","","","","","","","","","","","16712190","159","10","1","0","3202","","","","","","","","","","","","","","","","","2113864172","0","0"
"2756","-1","-1","0","","","","","银色候选者","","","","","","","","","","","","16712190","","","","","在银色锦标赛中接受训练，作为你的种族阵营中的候选者出场比赛。","","","","","","","","","","","","16712190","14941","10","1","0","3805","","","","","","","","","","","","","","","","","2113864172","1","0"
"2856","-1","603","0","","","","","杀死烈焰巨兽（10人奥杜尔）","","","","","","","","","","","","16712190","","","","","杀死烈焰巨兽（10人奥杜尔）","","","","","","","","","","","","16712190","14963","10","1","1","1700","","","","","","","","","","","","","","","","","2113864172","0","0"
"2886","-1","603","0","","","","","围攻奥杜尔（10人）","","","","","","","","","","","","16712190","","","","","击败奥杜尔攻城区域的首领（10人）。","","","","","","","","","","","","16712190","14961","10","1","0","3844","","","","","","","","","","","","","","","","","2113864172","0","0"
"2887","-1","603","0","","","","","围攻奥杜尔（25人）","","","","","","","","","","","","16712190","","","","","击败奥杜尔攻城区域的首领（25人）。","","","","","","","","","","","","16712190","14962","10","1","0","3844","","","","","","","","","","","","","","","","","2113864172","0","0"
"3579","-1","-1","0","","","","","“食物大战！”","","","","","","","","","","","","16712190","","","","","在盛宴餐桌旁将食物丢在一名食客的头上。","","","","","","","","","","","","16712190","14981","10","1","0","456","","","","","","","","","","","","","","","","","16775150","1","0"
"3776","-1","628","0","","","","","征服之岛胜利","","","","","","","","","","","","16712190","","","","","获得征服之岛的胜利。","","","","","","","","","","","","16712190","15003","10","1","0","4002","","","","","","","","","","","","","","","","","16718846","0","0"
"3916","-1","-1","0","","","","","北伐的召唤（25人）","","","","","","","","","","","","16712190","","","","","击败十字军的试炼中的所有首领（25人）。","","","","","","","","","","","","16712190","15002","10","1","0","3744","","","","","","","","","","","","","","","","","150972924","0","0"
"3917","-1","-1","0","","","","","北伐的召唤（10人）","","","","","","","","","","","","16712190","","","","","击败十字军的试炼中的所有首领（10人）。","","","","","","","","","","","","16712190","15001","10","1","0","3744","","","","","","","","","","","","","","","","","150972908","0","0"
"4018","-1","-1","0","","","","","对猎人冠军的胜利（普通难度：冠军的试炼）","","","","","","","","","","","","16712190","","","","","战胜猎人冠军（普通难度：冠军的试炼）","","","","","","","","","","","","16712190","15021","0","1","1","1","","","","","","","","","","","","","","","","","16712172","0","0"
"4531","-1","631","0","","","","","进攻堡垒（10人）","","","","","","","","","","","","16712190","","","","","击败冰冠堡垒的前4个首领（普通难度10人）。","","","","","","","","","","","","16712190","15041","10","1","0","4167","","","","","","","","","","","","","","","","","16712172","0","0"
"4604","-1","631","0","","","","","进攻冰冠堡垒（25人）","","","","","","","","","","","","16712190","","","","","击败冰冠堡垒的前4个首领（普通难度25人）。","","","","","","","","","","","","16712190","15042","10","1","0","4167","","","","","","","","","","","","","","","","","16712188","0","0"
"4713","-1","-1","0","","","","","杀死布隆亚姆（灵魂洪炉）","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","15062","0","1","5","1","","","","","","","","","","","","","","","","","16712188","0","0"
"7","-1","-1","6","","","","","20级","","","","","","","","","","","","16712190","","","","","升到20级。","","","","","","","","","","","","16712190","92","10","2","4","3269","","","","","","","","","","","","","","","","","16712174","0","0"
"43","-1","-1","0","","","","","探索卡利姆多","","","","","","","","","","","","16712190","","","","","探索卡利姆多的各个区域。","","","","","","","","","","","","16712190","97","25","2","0","3491","","","","","","","","","","","","","","","","","16712174","0","0"
"59","-1","529","0","","","","","在阿拉希盆地中死亡","","","","","","","","","","","","16712190","","","","","在阿拉希盆地中死亡","","","","","","","","","","","","16712190","124","0","2","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
"95","-1","-1","0","","","","","平均每日完成的任务数量","","","","","","","","","","","","16712190","","","","","平均每日完成的任务数量","","","","","","","","","","","","16712190","133","0","2","73","0","","","","","","","","","","","","","","","","","16712174","0","98"
"122","-1","-1","121","","","","","高级厨师","","","","","","","","","","","","16712190","","","","","成为一名高级厨师。","","","","","","","","","","","","16712190","170","10","2","0","1467","","","","","","","","","","","","","","","","","16712174","0","0"
"127","-1","-1","126","","","","","高级渔夫","","","","","","","","","","","","16712190","","","","","成为一名高级渔夫。","","","","","","","","","","","","16712190","171","10","2","0","580","","","","","","","","","","","","","","","","","16712174","0","0"
"132","-1","-1","131","","","","","高级急救师","","","","","","","","","","","","16712190","","","","","成为一名高级急救师。","","","","","","","","","","","","16712190","172","10","2","0","504","","","","","","","","","","","","","","","","","16712174","0","0"
"155","-1","529","154","","","","","阿拉希盆地精英","","","","","","","","","","","","16712190","","","","","在阿拉希盆地获得100场胜利。","","","","","","","","","","","","16712190","14802","10","2","0","3382","","","","","","","","","","","","","","","","","16712174","0","0"
"167","-1","489","166","","","","","战歌峡谷精英","","","","","","","","","","","","16712190","","","","","在战歌峡谷获得100场胜利。","","","","","","","","","","","","16712190","14804","10","2","0","3388","","","","","","","","","","","","","","","","","16712174","0","0"
"209","-1","566","208","","","","","风暴之眼精英","","","","","","","","","","","","16712190","","","","","在风暴之眼获得100场胜利。","","","","","","","","","","","","16712190","14803","10","2","0","3385","","","","","","","","","","","","","","","","","16712174","0","0"
"219","-1","30","218","","","","","奥特兰克山谷精英","","","","","","","","","","","","16712190","","","","","在奥特兰克山谷获得100场胜利。","","","","","","","","","","","","16712190","14801","10","2","0","3378","","","","","","","","","","","","","","","","","16712174","0","0"
"252","-1","-1","0","","","","","我的小帮手","","","","","","","","","","","","16712190","","","","","通过欢乐制造器变成冬天爷爷的小助手，然后获得50个荣誉击杀。","","","","","","","","","","","","16712190","156","10","2","136","3679","","","","","","","","","","","","","","","","","16712174","0","0"
"260","-1","-1","0","","","","","魅力四射","","","","","","","","","","","","16712190","","","","","制作12个可爱的情人符手镯。","","","","","","","","","","","","16712190","187","10","2","0","4134","","","","","","","","","","","","","","","","","16712174","0","0"
"271","-1","-1","0","","","","","木杆热舞","","","","","","","","","","","","16712190","","","","","穿着全套仲夏火焰节套装，在彩带杆旁跳舞60秒。","","","","","","","","","","","","16712190","161","10","2","0","3262","","","","","","","","","","","","","","","","","16712174","0","0"
"288","-1","-1","0","","","","","狼吞虎咽","","","","","","","","","","","","16712190","","","","","吃掉大量糖果，直到你觉得恶心。","","","","","","","","","","","","16712190","158","10","2","0","97","","","","","","","","","","","","","","","","","16712174","0","0"
"318","-1","-1","0","","","","","被敌对阵营杀死的总次数","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","21","0","2","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"320","-1","-1","0","","","","","决斗落败","","","","","","","","","","","","16712190","","","","","决斗落败","","","","","","","","","","","","16712190","154","0","2","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"342","-1","-1","0","","","","","获得史诗物品","","","","","","","","","","","","16712190","","","","","获得史诗物品","","","","","","","","","","","","16712190","191","0","2","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"378","-1","-1","0","","","","","达到崇敬以上的声望","","","","","","","","","","","","16712190","","","","","达到崇敬以上的声望","","","","","","","","","","","","16712190","147","0","2","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"381","-1","-1","0","","","","","世界荣誉杀敌","","","","","","","","","","","","16712190","","","","","世界荣誉杀敌","","","","","","","","","","","","16712190","136","0","2","9","4","","","","","","","","","","","","","","","","","16712174","0","0"
"398","-1","-1","397","","","","","残酷的斗士","","","","","","","","","","","","16712190","","","","","在80级时获得100场竞技场积分赛的胜利。","","","","","","","","","","","","16712190","165","10","2","0","3593","","","","","","","","","","","","","","","","","16712174","0","0"
"467","-1","-1","0","","","","","服务器第一！80级萨满祭司","","","","","","","","","","","","16712190","","","","","本服务器第一个达到80级的萨满祭司。","","","","","","","","","","","","16712190","81","0","2","256","38","","","","","","","","","","","","","","","","","16712174","0","0"
"478","-1","576","0","","","","","魔枢","","","","","","","","","","","","16712190","","","","","击败魔枢的首领。","","","","","","","","","","","","16712190","14806","10","2","0","3227","","","","","","","","","","","","","","","","","16712174","0","0"
"490","-1","576","0","","","","","魔枢（英雄难度）","","","","","","","","","","","","16712190","","","","","击败魔枢的首领（英雄难度）。","","","","","","","","","","","","16712190","14921","10","2","0","3228","","","","","","","","","","","","","","","","","16712172","0","0"
"504","-1","-1","503","","","","","完成100个任务","","","","","","","","","","","","16712190","","","","","完成100个任务。","","","","","","","","","","","","16712190","96","10","2","0","3420","","","","","","","","","","","","","","","","","16712174","0","0"
"513","-1","-1","238","","","","","100个荣誉击杀","","","","","","","","","","","","16712190","","","","","达到100个荣誉击杀。","","","","","","","","","","","","16712190","95","10","2","0","3455","","","","","","","","","","","","","","","","","16712174","0","0"
"523","-1","-1","522","","","","","5个声望崇拜","","","","","","","","","","","","16712190","","","","","在5个势力中达到崇拜声望。","","","","","","","","","","","","16712190","201","10","2","0","3609","","","","","","","","","","","","","","","","","16712174","0","0"
"527","-1","-1","0","","","","","受到的最高伤害","","","","","","","","","","","","16712190","","","","","受到的最高伤害","","","","","","","","","","","","16712190","141","0","2","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
"594","-1","-1","0","","","","","被霍格杀死","","","","","","","","","","","","16712190","","","","","被霍格杀死","","","","","","","","","","","","16712190","126","0","2","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
